movieId,actors,director,music,screenwriter
949,"['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Jon Voight', 'Tom Sizemore', 'Diane Venora', 'Amy Brenneman', 'Ashley Judd', 'Mykelti Williamson', 'Natalie Portman', 'Ted Levine', 'Tom Noonan', 'Tone Loc', 'Hank Azaria', 'Wes Studi', 'Dennis Haysbert', 'Danny Trejo', 'Henry Rollins', 'William Fichtner', 'Kevin Gage', 'Susan Traylor', 'Jerry Trimble', 'Ricky Harris', 'Jeremy Piven', 'Xander Berkeley', 'Begonya Plaza', 'Rick Avery', 'Hazelle Goodman', 'Ray Buktenica', 'Max Daniels', 'Vince Deadrick Jr.', 'Steven Ford', 'Farrah Forke', 'Patricia Healy', 'Paul Herman', 'Cindy Katz', 'Brian Libby', 'Dan Martin', 'Mario Roberts', 'Thomas Rosales, Jr.', 'Yvonne Zima', 'Mick Gould', 'Bud Cort', 'Viviane Vives', 'Kim Staunton', 'Martin Ferrero', 'Brad Baldridge', 'Andrew Camuccio', 'Kenny Endoso', 'Kimberly Flynn', 'Niki Harris', 'Bill McIntosh', 'Rick Marzan', 'Terry Miller', ""Daniel O'Haco"", 'Kai Soremekun', 'Peter Blackwell', 'Trevor Coppola', 'Mary Kircher', 'Darin Mangan', 'Robert Miranda', 'Manny Perry', 'Iva Franks Singer', 'Tim Werner', 'Philip Ettington']",['Michael Mann'],['Elliot Goldenthal'],['Michael Mann']
1408,"['Geena Davis', 'Matthew Modine', 'Frank Langella', 'Maury Chaykin', 'Patrick Malahide', 'Stan Shaw', 'Rex Linn', 'Paul Dillon', 'Christopher Masterson', 'Jimmie F. Skaggs', 'Harris Yulin', 'Carl Chase', 'Peter Geeves', 'Angus Wright', 'Ken Bones', 'Mary Peach', 'Thomas Lockyer', 'Roger Booth', 'George Murcell', 'Simon Atherton', 'Dickey Beer', 'Christopher Halliday', 'Chris Johnston', 'Richard Leaf', 'Tam White', 'Rupert Vansittart', 'Nick Bartlett', 'David Bailie', 'Kwame Kwei-Armah', 'Ramon Tikaram', 'Christopher Adamson']",['Renny Harlin'],[],"['Marc Norman', 'Robert King']"
524,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods', 'Don Rickles', 'Alan King', 'Kevin Pollak', 'Pasquale Cajano', 'L.Q. Jones', 'Dick Smothers', 'Frank Vincent', 'Oscar Goodman', 'Richard Riehle', 'Catherine Scorsese', 'Vinny Vella', 'Nobu Matsuhisa', 'Erika von Tagen', 'Nick Mazzola', 'David Rose', 'John Bloom', 'Joseph Rigano', 'Philip Suriano', 'Melissa Prophet', 'Bill Allison', 'Joe La Due', 'Joseph P. Reidy', 'Craig Vincent', 'Carl Ciarfalio', 'Gene Ruffini', 'Dominick Grieco', 'Clem Caserta', 'Daniel P. Conte', 'Joey DePinto', 'Jack Orend', 'Paul Herman', 'Jed Mills', 'Claudia Haro', 'Ffolliott Le Coque', 'John Manca', 'Ronald Maccone', 'Joseph Bono', 'Frank Adonis', 'Anthony Russell', 'Stuart Nisbet', 'Alfred Nittoli']",['Martin Scorsese'],[],"['Martin Scorsese', 'Nicholas Pileggi']"
5,"['Tim Roth', 'Antonio Banderas', 'Jennifer Beals', 'Madonna', 'Marisa Tomei', 'Bruce Willis', 'Quentin Tarantino', 'Sammi Davis', 'Amanda de Cadenet', 'Valeria Golino', 'Lili Taylor', 'Lawrence Bender', 'Ione Skye', 'Alicia Witt', 'David Proval', 'Lana McKissack', 'Tamlyn Tomita', 'Kathy Griffin', 'Paul Calderon', 'Salma Hayek', 'Patricia Vonne', 'Danny Verduzco', 'Kimberly Blair', 'Marc Lawrence']","['Allison Anders', 'Alexandre Rockwell', 'Robert Rodriguez', 'Quentin Tarantino']",['Combustible Edison'],[]
902,"['Ron Perlman', 'Dominique Pinon', 'Judith Vittet', 'Daniel Emilfork', 'Jean-Claude Dreyfus', 'Geneviève Brunet', 'Odile Mallet', 'Mireille Mossé', 'Serge Merlin', 'Rufus', 'Ticky Holgado', 'Cris Huerta', 'Jean-Louis Trintignant', 'Joseph Lucien', 'Mapi Galán', 'Briac Barthélémy', 'Pierre-Quentin Faesch', 'Alexis Pivot', 'François Hadji-Lazaro', 'Dominique Bettenfeld', 'Lotfi Yahya Jedidi', 'Thierry Gibault', 'Marc Caro', 'Ham-Chau Luong', 'Frankie Pain', 'Enrique Villanueva', 'Dominique Chevalier', 'Lorella Cravotta', 'Éric Houzelot', 'Philippe Beautier', 'Marc Amyot', 'Jean-Philippe Labadie', 'Raphaèle Bouchard', 'Elisabeth Etienne', 'Rachel Boulenger', 'Michel Motu', 'Nane Germon']","['Jean-Pierre Jeunet', 'Marc Caro']",['Angelo Badalamenti'],"['Jean-Pierre Jeunet', 'Marc Caro', 'Gilles Adrien']"
2054,"['Richard Dreyfuss', 'Glenne Headly', 'Jay Thomas', 'Olympia Dukakis', 'William H. Macy', 'Alicia Witt', 'Nicholas John Renner', 'Joseph Anderson', 'Anthony Natale', 'Jean Louisa Kelly', 'Terrence Howard', 'Damon Whitaker', 'Alexandra Boyd', 'Joanna Gleason', 'Beth Maitland', 'Joshua Minnick']",['Stephen Herek'],['Michael Kamen'],['Patrick Sheane Duncan']
880,"['Willeke van Ammelrooy', 'Els Dottermans', 'Dora van der Groen', 'Veerle van Overloop', 'Esther Vriesendorp', 'Arne Bang-Hansen', 'Thyrza Ravesteijn', 'Mil Seghers', 'Jan Decleir', 'Elsie de Brauw', 'Reinout Bussemaker', 'Marina de Graaf', 'Wimie Wilhelm', 'Fran Waller Zeper']",['Marleen Gorris'],[],['Marleen Gorris']
1873,"['Patricia Arquette', 'Frances McDormand', 'U Aung Ko', 'Spalding Gray', 'Tiara Jacquelina', 'Ann Howard', 'Victor Slezak', 'Ye Myint', 'Cho Cho Myint', 'Michael Pickells', 'Enzo Rossi', 'Kuswadinath Bujang', 'Johnny Cheah', 'M.Rajoli']",['John Boorman'],['Hans Zimmer'],"['Alex Lasker', 'Bill Rubenstein']"
281,"['Ralph Fiennes', 'Angela Bassett', 'Tom Sizemore', 'Juliette Lewis', ""Vincent D'Onofrio"", 'William Fichtner', 'Michael Wincott', 'Glenn Plummer', 'Brigitte Bako', 'Kelly Hu', 'Richard Edson', 'Josef Sommer', 'Joe Urla', 'Michael Jace']",['Kathryn Bigelow'],['Graeme Revell'],"['James Cameron', 'Jay Cocks']"
3512,"['Steven Seagal', 'Eric Bogosian', 'Everett McGill', 'Katherine Heigl', 'Моррис Честнат', 'Peter Greene', 'Patrick Kilpatrick', 'Scott Sowers', 'Afifi Alaouie', 'Andy Romano', 'Brenda Bakke', 'Sandra Taylor']",['Geoff Murphy'],['Basil Poledouris'],"['Richard Hatem', 'Matt Reeves']"
