movieId,original_title,genres,production_countries,collection,release_year
949,Heat,"['Action', 'Crime', 'Drama', 'Thriller']",['US'],,1995
1408,Cutthroat Island,"['Action', 'Adventure']","['FR', 'DE', 'IT', 'US']",,1995
524,Casino,"['Drama', 'Crime']","['FR', 'US']",,1995
5,Four Rooms,"['Crime', 'Comedy']",['US'],,1995
902,La Cité des Enfants Perdus,"['Fantasy', 'Science Fiction', 'Adventure']","['FR', 'DE', 'ES']",,1995
2054,Mr. Holland's Opus,"['Music', 'Drama', 'Family']",['US'],,1995
880,Antonia,"['Drama', 'Comedy']","['NL', 'GB', 'BE']",,1995
1873,Beyond Rangoon,"['Drama', 'Thriller']",[],,1995
281,Strange Days,"['Crime', 'Drama', 'Science Fiction', 'Thriller']",['US'],,1995
3512,Under Siege 2: Dark Territory,"['Action', 'Thriller']",['US'],Under Siege Collection,1995
76,Before Sunrise,"['Drama', 'Romance']","['AT', 'CH', 'US']",Before... Collection,1995
1909,Don Juan DeMarco,"['Romance', 'Drama', 'Comedy']",['US'],,1994
8984,Disclosure,"['Drama', 'Thriller', 'Crime', 'Mystery', 'Romance']",['US'],,1994
628,Interview with the Vampire,"['Horror', 'Romance']",['US'],The Vampire Chronicles,1994
11,Star Wars,"['Adventure', 'Action', 'Science Fiction']",['US'],Star Wars Collection,1977
1945,Nell,"['Drama', 'Thriller']",['US'],,1994
527,Once Were Warriors,['Drama'],['NZ'],Once were Warriors Collection,1994
101,Léon,"['Thriller', 'Crime', 'Drama']","['FR', 'US']",,1994
110,Trois couleurs : Rouge,"['Drama', 'Mystery', 'Romance']","['FR', 'PL', 'CH']",Three Colors Collection,1994
193,Star Trek: Generations,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",['US'],Star Trek: The Next Generation Collection,1994
1587,What's Eating Gilbert Grape,"['Romance', 'Drama']",['US'],,1993
2064,While You Were Sleeping,"['Comedy', 'Drama', 'Romance']",['US'],,1995
236,Muriel's Wedding,"['Drama', 'Comedy', 'Romance']","['AU', 'FR']",,1994
2759,"The Adventures of Priscilla, Queen of the Desert","['Drama', 'Comedy']",['AU'],,1994
1689,Little Buddha,"['Drama', 'History']","['FR', 'IT', 'LI', 'GB']",,1993
2788,Reality Bites,['Drama'],['US'],,1994
315,"Faster, Pussycat! Kill! Kill!","['Action', 'Crime']",['US'],,1965
306,Beverly Hills Cop III,"['Action', 'Comedy', 'Crime']",['US'],Beverly Hills Cop Collection,1994
2124,Color of Night,"['Drama', 'Mystery', 'Romance', 'Thriller']",['US'],,1994
2087,The Getaway,"['Drama', 'Action', 'Thriller']","['JP', 'US']",,1994
2019,Hard Target,"['Action', 'Adventure', 'Crime', 'Thriller']",['US'],Hard Target Collection,1993
2259,The House of the Spirits,"['Romance', 'Drama']","['DK', 'FR', 'DE', 'PT', 'US']",,1993
6,Judgment Night,"['Action', 'Thriller', 'Crime']","['JP', 'US']",,1993
329,Jurassic Park,"['Adventure', 'Science Fiction']",['US'],Jurassic Park Collection,1993
507,Killing Zoe,"['Action', 'Crime', 'Drama', 'Thriller']","['FR', 'US']",,1993
788,Mrs. Doubtfire,"['Comedy', 'Drama', 'Family']",['US'],,1993
1245,The Remains of the Day,"['Drama', 'Romance']","['GB', 'US']",,1993
2088,Romeo Is Bleeding,"['Action', 'Crime', 'Drama', 'Thriller']","['GB', 'US']",,1993
858,Sleepless in Seattle,"['Comedy', 'Drama', 'Romance']",['US'],,1993
319,True Romance,"['Action', 'Thriller', 'Crime', 'Romance']",['US'],,1993
280,Terminator 2: Judgment Day,"['Action', 'Thriller', 'Science Fiction']","['FR', 'US']",The Terminator Collection,1991
581,Dances with Wolves,"['Adventure', 'Drama', 'Western']","['GB', 'US']",,1990
2021,Jack & Sarah,"['Comedy', 'Drama', 'Romance']","['FR', 'GB']",,1995
954,Mission: Impossible,"['Adventure', 'Action', 'Thriller']",['US'],Mission: Impossible Collection,1996
2300,Space Jam,"['Animation', 'Comedy', 'Drama', 'Family', 'Fantasy']",['US'],,1996
922,Dead Man,"['Drama', 'Fantasy', 'Western']","['DE', 'JP', 'US']",,1995
532,A Close Shave,"['Family', 'Animation', 'Comedy']",['GB'],Wallace & Gromit Collection,1995
1645,A Time to Kill,"['Crime', 'Drama', 'Thriller']",['US'],,1996
549,Basquiat,"['Drama', 'History']",['US'],,1996
164,Breakfast at Tiffany's,"['Comedy', 'Drama', 'Romance']",['US'],,1961
426,Vertigo,"['Mystery', 'Romance', 'Thriller']",['US'],,1958
239,Some Like It Hot,"['Comedy', 'Romance']",['US'],,1959
289,Casablanca,"['Drama', 'Romance']",['US'],,1942
6620,Sabrina,"['Comedy', 'Drama', 'Romance']",['US'],,1954
804,Roman Holiday,"['Comedy', 'Romance']",['US'],,1953
909,Meet Me in St. Louis,"['Comedy', 'Music', 'Romance']",['US'],,1944
599,Sunset Boulevard,['Drama'],['US'],,1950
15,Citizen Kane,"['Mystery', 'Drama']",['US'],,1941
62,2001: A Space Odyssey,"['Science Fiction', 'Mystery', 'Adventure']","['US', 'GB']",The Space Odyssey Series,1968
223,Rebecca,"['Drama', 'Mystery']",['US'],,1940
303,Notorious,"['Thriller', 'Drama', 'Romance']",['US'],,1946
381,To Catch a Thief,"['Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']",['US'],,1955
1939,Laura,"['Drama', 'Mystery']",['US'],,1944
198,To Be or Not to Be,"['Comedy', 'War']",['US'],,1942
3083,Mr. Smith Goes to Washington,"['Comedy', 'Drama']",['US'],,1939
900,Bringing Up Baby,"['Comedy', 'Romance']",['US'],,1938
260,The 39 Steps,"['Action', 'Thriller', 'Mystery']",['GB'],,1935
261,Cat on a Hot Tin Roof,"['Drama', 'Romance']",['US'],,1958
2033,Infinity,"['Drama', 'Romance']",['US'],,1996
173,"20,000 Leagues Under the Sea","['Adventure', 'Drama', 'Science Fiction']",['US'],,1954
562,Die Hard,"['Action', 'Thriller']",['US'],Die Hard Collection,1988
454,Romeo + Juliet,"['Drama', 'Romance']",['US'],,1996
1834,"Murder, My Sweet","['Crime', 'Drama', 'Mystery', 'Thriller']",['US'],,1944
252,Willy Wonka & the Chocolate Factory,"['Family', 'Fantasy']",['US'],,1971
475,Bonnie and Clyde,"['Crime', 'Drama']",['US'],,1967
88,Dirty Dancing,"['Drama', 'Music', 'Romance']",['US'],Dirty Dancing Collection,1987
500,Reservoir Dogs,"['Crime', 'Thriller']",['US'],,1992
1103,Escape from New York,"['Science Fiction', 'Action']",['US'],Escape From ... Collection,1981
762,Monty Python and the Holy Grail,"['Adventure', 'Comedy', 'Fantasy']",['GB'],,1975
531,The Wrong Trousers,"['Animation', 'Comedy', 'Family']",['GB'],Wallace & Gromit Collection,1993
2469,¡Átame!,"['Comedy', 'Crime', 'Drama', 'Romance']",['ES'],,1989
85,Raiders of the Lost Ark,"['Adventure', 'Action']",['US'],Indiana Jones Collection,1981
947,Lawrence of Arabia,"['Adventure', 'Drama', 'History', 'War']",['GB'],,1962
185,A Clockwork Orange,"['Science Fiction', 'Drama']","['GB', 'US']",,1971
595,To Kill a Mockingbird,"['Crime', 'Drama']",['US'],,1962
28,Apocalypse Now,"['Drama', 'War']",['US'],,1979
1892,Return of the Jedi,"['Adventure', 'Action', 'Science Fiction']",['US'],Star Wars Collection,1983
144,Der Himmel über Berlin,"['Drama', 'Fantasy', 'Romance']","['DE', 'FR']",,1987
1092,The Third Man,"['Thriller', 'Mystery']",['GB'],,1949
348,Alien,"['Horror', 'Action', 'Thriller', 'Science Fiction']","['US', 'GB']",Alien Collection,1979
175,Le Grand Bleu,"['Adventure', 'Drama', 'Romance']","['FR', 'IT', 'US']",,1988
539,Psycho,"['Drama', 'Horror', 'Thriller']",['US'],Psycho Collection,1960
490,Det sjunde inseglet,"['Fantasy', 'Drama']",['SE'],,1957
218,The Terminator,"['Action', 'Thriller', 'Science Fiction']","['GB', 'US']",The Terminator Collection,1984
379,Miller's Crossing,"['Drama', 'Thriller', 'Crime']",['US'],,1990
207,Dead Poets Society,['Drama'],['US'],,1989
235,Stand by Me,"['Crime', 'Drama']",['US'],,1986
832,M,"['Drama', 'Action', 'Thriller', 'Crime']",['DE'],,1931
765,Evil Dead II,"['Horror', 'Comedy', 'Fantasy']",['US'],Evil Dead Collection,1987
105,Back to the Future,"['Adventure', 'Comedy', 'Science Fiction', 'Family']",['US'],Back to the Future Collection,1985
903,Cool Hand Luke,"['Crime', 'Drama']",['US'],,1967
3034,Young Frankenstein,"['Comedy', 'Science Fiction']",['US'],,1974
339,Night on Earth,"['Comedy', 'Drama']","['DE', 'FI', 'FR', 'GB', 'US']",,1991
914,The Great Dictator,['Comedy'],['US'],,1940
288,High Noon,['Western'],['US'],,1952
910,The Big Sleep,"['Crime', 'Drama', 'Mystery', 'Thriller']",['US'],,1946
2640,Heathers,"['Thriller', 'Comedy', 'Drama']",['US'],,1988
89,Indiana Jones and the Last Crusade,"['Adventure', 'Action']",['US'],Indiana Jones Collection,1989
783,Gandhi,"['Drama', 'History']","['IN', 'GB']",,1982
830,Forbidden Planet,"['Adventure', 'Science Fiction', 'Action']",['US'],,1956
229,Bride of Frankenstein,"['Horror', 'Science Fiction']",['US'],Frankenstein (Universal Series),1935
377,A Nightmare on Elm Street,['Horror'],['US'],A Nightmare on Elm Street Collection,1984
653,"Nosferatu, eine Symphonie des Grauens","['Fantasy', 'Horror']",['DE'],,1922
145,Breaking the Waves,"['Drama', 'Romance']","['DK', 'FR', 'IS', 'NL', 'NO', 'SE']",Heart of Gold Collection,1996
1573,Die Hard 2,"['Action', 'Thriller']",['US'],Die Hard Collection,1990
172,Star Trek V: The Final Frontier,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",['US'],Star Trek: The Original Series Collection,1989
154,Star Trek II: The Wrath of Khan,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",['US'],Star Trek: The Original Series Collection,1982
168,Star Trek IV: The Voyage Home,"['Science Fiction', 'Adventure']",['US'],Star Trek: The Original Series Collection,1986
364,Batman Returns,"['Action', 'Fantasy']","['GB', 'US']",Batman Collection,1992
378,Raising Arizona,"['Comedy', 'Crime']",['US'],,1987
3179,Beavis and Butt-Head Do America,"['Animation', 'Comedy']",['US'],,1996
4232,Scream,"['Crime', 'Horror', 'Mystery']",['US'],Scream Collection,1996
8860,Metro,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",['US'],,1997
784,Kolja,"['Music', 'Drama', 'Comedy']","['FR', 'CZ', 'GB']",,1996
1968,Fools Rush In,"['Drama', 'Comedy', 'Romance']",['US'],,1997
18,The Fifth Element,"['Adventure', 'Fantasy', 'Action', 'Thriller', 'Science Fiction']",['FR'],,1997
2058,Addicted to Love,"['Comedy', 'Romance']",['US'],,1997
33660,Shiloh,"['Drama', 'Family']",['US'],Shiloh Collection,1996
1701,Con Air,"['Action', 'Thriller', 'Crime']",['US'],,1997
1639,Speed 2: Cruise Control,"['Action', 'Adventure', 'Thriller']",['US'],Speed Collection,1997
415,Batman & Robin,"['Action', 'Crime', 'Fantasy']","['GB', 'US']",Batman Collection,1997
8874,My Best Friend's Wedding,"['Comedy', 'Romance']",['US'],,1997
266,Le Mépris,['Drama'],"['FR', 'IT']",,1963
2142,Cop Land,"['Action', 'Crime', 'Drama']",['US'],,1997
468,My Own Private Idaho,"['Drama', 'Romance']",['US'],,1991
2118,L.A. Confidential,"['Crime', 'Drama', 'Mystery', 'Thriller']",['US'],,1997
1959,Swept from the Sea,"['Drama', 'Romance']",['GB'],,1998
1281,Bean,['Comedy'],"['GB', 'US']",Mr. Bean Collection,1997
4995,Boogie Nights,['Drama'],['US'],,1997
489,Good Will Hunting,['Drama'],"['CA', 'US']",,1997
6283,MouseHunt,"['Comedy', 'Family']",['US'],,1997
597,Titanic,"['Drama', 'Romance', 'Thriller']",['US'],,1997
714,Tomorrow Never Dies,"['Adventure', 'Action', 'Thriller']","['GB', 'US']",James Bond Collection,1997
586,Wag the Dog,"['Comedy', 'Drama']",['US'],,1997
267,Carne trémula,"['Drama', 'Romance', 'Thriller']","['FR', 'ES']",,1997
1965,A Perfect Murder,"['Crime', 'Thriller', 'Drama']",['US'],,1998
1389,Out of Sight,"['Romance', 'Comedy', 'Crime']",['US'],,1998
95,Armageddon,"['Action', 'Thriller', 'Science Fiction', 'Adventure']",['US'],,1998
1366,Rocky,['Drama'],['US'],Rocky Collection,1976
380,Rain Man,['Drama'],['US'],,1988
466,Klute,['Mystery'],['US'],,1971
2108,The Breakfast Club,"['Comedy', 'Drama']",['US'],,1985
948,Halloween,"['Horror', 'Thriller']",['US'],Halloween Collection,1978
609,Poltergeist,['Horror'],['US'],Poltergeist Collection,1982
942,Lethal Weapon 2,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",['US'],Lethal Weapon Collection,1989
943,Lethal Weapon 3,"['Adventure', 'Action', 'Comedy', 'Thriller', 'Crime']",['US'],Lethal Weapon Collection,1992
928,Gremlins 2: The New Batch,"['Comedy', 'Horror', 'Fantasy']",['US'],The Gremlins Collection,1990
19,Metropolis,"['Drama', 'Science Fiction']",['DE'],,1927
165,Back to the Future Part II,"['Adventure', 'Comedy', 'Family', 'Science Fiction']",['US'],Back to the Future Collection,1989
196,Back to the Future Part III,"['Adventure', 'Comedy', 'Family', 'Science Fiction']",['US'],Back to the Future Collection,1990
551,The Poseidon Adventure,"['Action', 'Adventure']",['US'],The Poseidon Adventure Collection,1972
1411,The Rapture,"['Mystery', 'Drama']",['US'],,1991
1779,Roger & Me,"['Documentary', 'History']",['US'],,1989
678,Out of the Past,"['Drama', 'Mystery', 'Thriller']",['US'],,1947
907,Doctor Zhivago,"['Drama', 'Romance', 'War']","['IT', 'US']",,1965
227,The Outsiders,"['Crime', 'Drama']",['US'],,1983
805,Rosemary's Baby,"['Horror', 'Drama', 'Mystery']",['US'],Rosemary's Baby Collection,1968
4011,Beetlejuice,"['Fantasy', 'Comedy']",['US'],,1988
1580,Rope,"['Crime', 'Drama', 'Mystery', 'Thriller']",['US'],,1948
940,The Lady Vanishes,"['Mystery', 'Thriller']",['GB'],,1938
2762,Young and Innocent,"['Drama', 'Crime']",['GB'],,1937
2761,Secret Agent,['Thriller'],['GB'],,1936
543,Blackmail,"['Drama', 'Thriller', 'Crime']",['GB'],,1929
431,Cube,"['Thriller', 'Science Fiction', 'Mystery']",['CA'],Cube Collection,1997
2321,Married to the Mob,"['Comedy', 'Crime', 'Romance']",['US'],,1988
2028,Say Anything...,"['Comedy', 'Drama', 'Romance']",['US'],,1989
5971,We're No Angels,"['Comedy', 'Crime', 'Drama']",['US'],,1989
2109,Rush Hour,"['Action', 'Comedy', 'Crime', 'Thriller']",['US'],Rush Hour Collection,1998
1091,The Thing,"['Horror', 'Mystery', 'Science Fiction']",['US'],The Thing Collection,1982
162,Edward Scissorhands,"['Fantasy', 'Drama', 'Romance']",['US'],,1990
4975,Love Is the Devil: Study for a Portrait of Francis Bacon,"['TV Movie', 'Drama']",['GB'],,1998
1955,The Elephant Man,"['Drama', 'History']","['GB', 'US']",,1980
2657,Pleasantville,"['Fantasy', 'Drama', 'Comedy']",['US'],,1998
637,La vita è bella,"['Comedy', 'Drama']",['IT'],,1997
73,American History X,['Drama'],['US'],,1998
